,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc,Total Distance,moving_group,weapon_group
21842,ddd3f3db2e40af,7d9811ed89d03a,2ab8ef7955d1d9,1,0,342.9,2,1,0,11,0,3,3,12.19,1349,duo-fpp,46,44,1491,0,0.0,0,0.0,0,0,27.61,1,0,0.1556,27.61,<=10.00%,<=10.00%
24110,7d5c3aabe63572,a00b3073d12086,237585cba79025,0,0,494.8,0,1,0,6,0,4,4,19.82,1414,solo-fpp,92,92,1941,0,0.0,0,0.0,0,0,18.85,1,0,0.1099,18.85,<=10.00%,<=10.00%
25500,3aca81399975bb,f862fbd6f58139,a724d1f6fea21b,0,0,344.5,1,0,0,22,1544,2,2,6.235,1424,duo-fpp,47,46,-1,0,0.0,0,0.0,0,0,22.34,1,1553,0.0217,22.34,<=10.00%,<=10.00%
30117,354c12fdf318cc,e8a0a7e3408def,3d99e6dc84792b,0,0,365.0,0,0,0,11,0,0,0,0.0,1807,solo,14,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
40756,2d98a6b05e0977,2452cb67096aaf,0c565888b3c1c6,0,0,400.0,1,2,0,7,0,4,4,0.8031,1936,duo,47,41,1531,0,0.0,0,0.0,0,0,22.94,0,0,0.1304,22.94,<=10.00%,<=10.00%
42034,390191b470505b,a0d33c1f1c4278,03da8c737b3fe2,0,0,491.7,0,0,0,7,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
47241,d66b1f32585f7a,ec57b7fc28644f,ea5ba780c3861d,0,0,1051.0,0,0,0,7,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
50007,548c8aee07a9b9,039233e3876bf1,f1a720444a7923,0,0,545.7,0,0,0,16,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
53375,68997f8e9aa924,08ab041b679619,db52009c6b2301,0,0,343.0,2,0,0,17,1724,3,2,9.975,1272,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,29.6,1,1540,0.1852,29.6,<=10.00%,<=10.00%
63390,94c9cb10e43daa,70989d9beecc96,20ac97e69f1268,0,0,376.1,0,0,0,12,0,3,3,21.3,1400,solo-fpp,93,92,1628,0,0.0,0,0.0,0,0,30.97,1,0,0.0978,30.97,<=10.00%,<=10.00%
71469,f09c2ecc99b763,49fe5e626935ba,0101ab001bb2c2,0,0,356.4,0,0,0,15,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
77079,a39c7810db5796,6cc224f7cfb71e,f773dc7da68845,0,0,388.6,2,1,0,12,1125,3,2,0.8149,1967,squad,26,25,-1,0,0.0,0,0.0,0,0,27.69,0,1412,0.12,27.69,<=10.00%,<=10.00%
85102,aea550fbabf3ed,f8150bb40a6821,fe6875c748e67d,0,0,338.7,0,0,0,10,0,0,0,0.0,1639,solo,19,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
86714,35ed4abf74bdfe,e27c4b8943eed8,162e0a11b967bb,0,0,765.4,0,0,0,15,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
117517,14775836da1f3e,2d03c8cef40074,ad64e518208d26,0,0,693.0,0,0,0,11,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
128163,d112099cb27b26,ea1d66e32715f1,05b61eacec008d,0,0,400.0,0,0,1,7,0,4,2,13.23,1389,solo-fpp,90,87,1496,0,0.0,0,0.0,0,0,39.49,3,0,0.2135,39.49,<=10.00%,<=40.00%
142810,6e40b5b9856df9,988f7c316f8cf4,743e408f65e2d4,0,0,348.5,2,0,0,21,1343,2,2,7.943,1881,duo-fpp,48,46,-1,0,0.0,0,0.0,0,0,20.79,1,1465,0.1064,20.79,<=10.00%,<=10.00%
149814,4041d7a69a77c0,3fe059a336b2de,2114f7ea120166,0,0,396.0,0,0,0,17,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
154942,851ff1c51b5a82,255c7aa88c9609,30ec1426e1d434,0,0,397.9,0,0,0,16,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
167019,139e0f70813e78,e7b5fe76776eff,7a243846f0271a,0,0,495.0,0,0,0,5,0,0,0,0.0,1808,solo,20,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
167664,ffad694a4d0bc1,664b53a1f9ecba,8a7bfdd72498b2,0,6,435.4,0,0,2,1,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,1.0,0.0,<=10.00%,<=90.00%
168443,2e184212be594b,e8a0a7e3408def,3d99e6dc84792b,0,0,585.5,0,0,0,12,0,0,0,0.0,1807,solo,14,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
190342,37c027418a2211,e9ca545a648078,838cb9a3c94598,1,0,359.0,0,0,0,34,0,3,1,46.23,1195,normal-squad-fpp,8,8,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
197346,83da77c5cc649f,a10253e8f94475,72fd13e334dc59,0,3,356.4,0,0,0,4,0,0,0,0.0,1808,solo,14,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
199806,1a52d4481583cb,ddfd237bb66857,2798696f6875d7,0,0,392.8,0,0,0,10,0,0,0,0.0,950,solo,20,1,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
